time,v0,v1,v2,c0,c1,c2,t0,t1,t2
21824.0,3.974609375,3.9921875,3.947265625,-44.71875,-44.53125,-45.25,27.25,27.5,30.5625
21824.0,3.9765625,3.99609375,3.94921875,-44.71875,-44.5625,-45.25,27.3125,27.5,30.5
21824.0,3.978515625,3.99609375,3.94921875,-44.71875,-44.53125,-45.25,27.3125,27.5625,30.5625
21824.0,3.978515625,3.99609375,3.951171875,-44.71875,-44.53125,-45.25,27.3125,27.5625,30.5
22032.0,4.0234375,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.875
22048.0,4.0234375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.9375
22048.0,4.0234375,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.8125
22048.0,4.02734375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.375,31.8125
22048.0,4.0234375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,28.9375,29.375,31.875
22048.0,4.0234375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0,29.375,31.875
22048.0,4.02734375,4.0390625,3.998046875,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22048.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,28.9375,29.375,31.875
22048.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0,29.4375,31.8125
22048.0,4.02734375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,29.0,29.375,31.875
22048.0,4.02734375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22048.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22048.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22048.0,4.02734375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22048.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22048.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22048.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0,29.4375,31.875
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0,29.5,31.875
22064.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0625,29.4375,31.9375
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0,29.5,31.875
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.4375,31.875
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5,31.875
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,28.9375,29.5,31.875
22064.0,4.03125,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.4375,31.9375
22064.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.53125,-45.25,29.0625,29.5,31.875
22064.0,4.02734375,4.04296875,3.998046875,-44.71875,-44.5,-45.25,29.0625,29.5,31.9375
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.4375,31.9375
22064.0,4.02734375,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5,31.9375
22064.0,4.02734375,4.04296875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.4375,32.0
22064.0,4.02734375,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5,31.9375
22064.0,4.02734375,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5,32.0
22064.0,4.02734375,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5,32.0
22080.0,4.02734375,4.04296875,4.00390625,-44.71875,-44.53125,-45.25,29.0625,29.4375,32.0
22080.0,4.03125,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.625,31.875
22080.0,4.02734375,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5625,31.9375
22080.0,4.03125,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5625,32.0
22080.0,4.02734375,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5,32.0
22080.0,4.03125,4.046875,4.0,-44.71875,-44.53125,-45.25,29.0625,29.5,31.9375
