Time (s),Voltage (V),Current (A)
316.381650346,5.0465,0.669552
317.027361359,5.0466,0.665266
317.6712871089999,5.0467,0.657808
318.33837707399994,5.0469,0.672946
318.9618396189999,5.0469,0.758437
319.63292104900006,5.0466,0.673203
320.25714835200006,5.0466,"0.66976
"
320.932294166,5.0466,0.671391
321.557307476,5.0468,0.654807
322.22596804599993,5.0469,0.759736
322.852901511,5.0468,0.656303
323.52623580399995,5.0466,0.672938
324.1529371239999,5.0464,0.666153
324.82668991399987,5.0465,0.672852
325.450180198,5.0465,0.764744
326.1331518459999,5.0465,0.673526
326.757077085,5.0465,0.755284
327.42231727500007,5.0465,0.664616
328.0469555519999,5.0465,0.671399
328.73549912299995,5.0467,0.746706
329.36232381399986,5.0467,0.653403
330.026116087,5.0466,0.786593
330.65219564699987,5.0465,0.673827
331.3353041549999,5.0464,0.672634
331.962179463,5.0463,0.721636
332.62190103500006,5.0466,0.671859
333.2669170229999,5.0468,0.732358
333.908647339,5.0466,0.655092
334.58176288799996,5.0465,0.720524
335.207433411,5.0464,"0.67107
"
335.87133160400003,5.0468,0.665173
336.500715355,5.0469,0.758147
337.17049892299997,5.0467,0.672852
337.79687883199995,5.0466,0.777402
338.4563514199999,5.0468,0.666261
339.102697217,5.0468,0.670405
339.74682633299994,5.0465,"0.74736
"
340.39038996299996,5.0468,"0.6543
"
341.039692714,5.0468,0.736292
341.6921595659999,5.0466,0.675318
342.3308245569999,5.0465,0.671474
342.97544482299986,5.0463,0.668382
343.62047853600006,5.0465,0.675535
344.291290547,5.0465,0.672277
344.914696909,5.0467,"0.6744
"
345.584011163,5.0465,0.661748
346.21170176099986,5.0464,0.667107
346.87876193500006,5.0466,0.673035
347.506172416,5.0467,0.731975
348.16662864499995,5.0468,0.654969
348.8109426839999,5.0466,0.674002
349.4507325289999,5.0467,0.674906
350.096378791,5.0465,0.672008
350.7364104599999,5.0464,0.796324
351.38098876999993,5.0466,0.674471
352.0340518549999,5.0467,0.771379
352.681159192,5.0468,0.657336
353.32122543900005,5.0463,0.666102
353.9853327430001,5.0463,0.671696
354.61141279899994,5.0465,0.662984
355.2794343799999,5.0466,0.735186
355.90629096399994,5.0465,0.674758
356.5659979249999,5.0464,"0.67439
"
357.21304055899986,5.0467,0.673988
357.8504754119999,5.0466,0.672553
358.52097241799993,5.0464,0.792613
359.14688339300005,5.0467,0.655393
359.82141853200005,5.0468,0.711851
360.447731598,5.0466,0.660607
361.125980174,5.0466,0.672342
361.75077475399985,5.0464,0.756457
362.41842932200007,5.0465,0.674308
363.0665584789999,5.0468,0.673569
363.71590751300005,5.0466,0.675078
364.36079870899994,5.0465,0.664815
365.00170926600003,5.0465,0.747127
365.64721219299986,5.0466,0.673937
366.2905954749999,5.0466,0.736127
366.9351633189999,5.0467,0.655178
367.584939073,5.0466,0.674432
368.2513743679999,5.0465,0.685576
368.87548015699986,5.0466,0.671838
369.55040043300005,5.0466,0.742186
370.176047358,5.0466,0.674631
370.83574125199993,5.0467,0.675986
371.4808414419999,5.0467,0.659027
372.1202303719999,5.0466,0.667051
372.7685591929999,5.0466,"0.75808
"
373.414773212,5.0466,0.662253
374.0604628379999,5.0467,"0.65549
"
374.69966612999997,5.0468,"0.67485
"
375.34445864400004,5.0466,0.675241
375.99058035999997,5.0465,0.679154
376.6361169019999,5.0467,0.671925
377.27980786800003,5.0467,0.764602
377.92951629699996,5.0465,0.674436
378.5755661809999,5.0465,0.656052
379.21983221100004,5.0465,0.662643
379.85923841,5.0463,0.668016
380.529830767,5.0465,0.772324
381.157382871,5.0468,0.658916
381.81356251700004,5.0468,0.674443
382.46170677400005,5.0467,0.673452
383.1096689399999,5.0466,0.674588
383.78006508399994,5.0465,0.799061
384.40476860700005,5.0466,0.674911
385.07042211099997,5.0466,0.761797
385.69393689799995,5.0465,0.653588
386.37095317299986,5.0466,0.658054
386.99502417100007,5.0466,"0.76003
"
387.66813006999996,5.0465,0.671808
388.300004727,5.0465,0.720309
388.954926139,5.0469,0.673848
389.59929370400005,5.0467,0.674063
390.24051195800007,5.0467,"0.73775
"
390.8835002609999,5.0467,0.667749
391.5297523019999,5.0465,0.796499
392.193887096,5.0467,0.661421
392.81836548599995,5.0469,0.655772
393.4852763449999,5.0466,0.650183
394.11027339299994,5.0466,0.674203
394.780314651,5.0464,0.763885
395.405101585,5.0465,0.675342
396.069880345,5.0468,0.746318
